# M2[GeV] M1[GeV] xsec[fb] uncertainty[fb]
 990  855     1.6616     0.0007
 990  880     1.6608     0.0007
 990  905     1.6611     0.0007
 990  930     1.6608     0.0007
 990  955     1.6610     0.0007
 990  980     1.6603     0.0006
1015    5     1.4162     0.0006
1015   30     1.4163     0.0006
1015   55     1.4162     0.0006
1015   80     1.4162     0.0006
1015  105     1.4161     0.0006
1015  130     1.4160     0.0006
1015  155     1.4160     0.0006
1015  180     1.4160     0.0006
1015  205     1.4159     0.0006
1015  230     1.4159     0.0006
1015  255     1.4158     0.0006
1015  280     1.4158     0.0006
1015  305     1.4158     0.0006
1015  330     1.4157     0.0006
1015  355     1.4157     0.0006
1015  380     1.4157     0.0006
1015  405     1.4156     0.0006
1015  430     1.4156     0.0006
1015  455     1.4156     0.0006
1015  480     1.4155     0.0006
1015  505     1.4155     0.0006
1015  530     1.4155     0.0006
1015  555     1.4155     0.0006
1015  580     1.4155     0.0006
1015  605     1.4155     0.0006
1015  630     1.4154     0.0006
1015  655     1.4154     0.0006
1015  680     1.4154     0.0006
1015  705     1.4154     0.0006
1015  730     1.4154     0.0006
1015  755     1.4154     0.0006
1015  780     1.4154     0.0006
1015  805     1.4154     0.0006
1015  830     1.4154     0.0006
1015  855     1.4155     0.0006
1015  880     1.4146     0.0006
1015  905     1.4147     0.0006
1015  930     1.4150     0.0006
1015  955     1.4157     0.0006
1015  980     1.4145     0.0006
1015 1005     1.4151     0.0005
